1,(5,11,7)
1,(6,6553,5)
1,(51,4,2)
1,(1,5,9)
1,(1)
1,(1,53,3)
1,(5,1,4)
1,(17,4742,1)
1,(1)
1,(417,3,1)
1,(1)
1,(2,5,9)
1,(5)
1,(1,4,2)
1,(11,60,9)
1,(91,2,5)
1,(10,1,4)
1,(1,6,8)
1,(4,326,5)
1,(1,7253,1)
1,(2)
1,(2)
1,(1,6170,1)
1,(1)
1,(571,4,7)
1,(87,1,9)
1,(24,4439,6)
1,(8,1,2)
1,(1,4,3)
1,(36,1,2)
1,(13,2,4)
1,(21,375,2)
1,(1,2,8)
1,(2)
1,(1,15,6)
1,(4,2,2)
1,(4469)
1,(1,4383,1)
1,(1,17,9)
1,(1175,1,5)
1,(2,3287,8)
1,(1,2,8)
1,(2,5644,4)
1,(4,6,2)
1,(1)
1,(3,7655,5)
1,(1,498,2)
1,(2,3,6)
1,(147)
1,(1)
1,(2,5,1)
1,(1,2,2)
1,(11,85,2)
1,(1,2,4)
1,(2,5760,2)
1,(2)
1,(1,3,8)
1,(6,8330,2)
1,(11,1,9)
1,(1)
1,(2,1,2)
1,(12,1,2)
1,(1)
1,(30,1,2)
1,(3,3472,7)
1,(15)
1,(93,2,4)
1,(13,3352,4)
1,(1,3275,4)
1,(2,7728,1)
1,(8)
1,(2,1,8)
1,(1,2,9)
1,(4,1,8)
1,(6)
1,(3,262,2)
1,(1,3,1)
1,(18)
1,(12,1,4)
1,(2,1,2)
1,(117,294,3)
1,(3,6,3)
1,(3,1,6)
1,(66)
1,(23)
1,(7)
1,(2,1,3)
1,(2,4846,6)
1,(1,3567,4)
1,(1,17,6)
1,(4)
1,(45,1,9)
1,(1,82,9)
1,(26,2,3)
1,(3)
1,(138,11,4)
1,(2,1,4)
1,(1,2,1)
1,(7)
1,(7,61,4)
1,(15,206,2)
1,(1,2,5)
1,(6)
1,(1)
1,(1,2,4)
1,(12)
1,(1)
1,(15)
1,(2,1,1)
1,(129,1,6)
1,(2,6,4)
1,(3,5729,5)
1,(1,21,5)
1,(3)
1,(6,4,1)
1,(10,1,6)
1,(2,3,9)
1,(2)
1,(1,2,4)
1,(1,2,6)
1,(1,4681,1)
1,(47,4,5)
1,(1,13,7)
1,(2,1,6)
1,(34)
1,(2,4,7)
1,(9,1,5)
1,(6,1,6)
1,(332,3811,6)
1,(1,2,5)
1,(28)
1,(3,1,8)
1,(2,8,5)
1,(1,5,2)
1,(4,4053,4)
1,(1,22,7)
1,(3,2,7)
1,(134,4,6)
1,(1,9,6)
1,(11)
1,(1,11,8)
1,(2,1,4)
1,(5,10,4)
1,(2,89,9)
1,(2,30,6)
